ID;Название компании;Логотип;Тип компании;Сфера деятельности;Кол-во сотрудников;Годовой оборот;Валюта;Комментарий;Ответственный;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Другой контакт;Связанный пользователь;Банковские реквизиты;Доступен для всех;Компания продавец
2191;АУРИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7107500182;да;
2192;БАЕР ПАК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5050134873;да;
2193;БАЛЗАПТОРГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6439102507;да;
2194;БАЛФОР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6439103204;да;
2195;БАШСЕРА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268091770;да;
2196;БАШСТРОЙСТАНДАРТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0263021018;да;
2197;БАШЧЕРМЕТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0265034284;да;
2198;БДС ИНВЕСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268083628;да;
2199;БЕЛТЕП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0256009605;да;
2200;БИЙСКПРОМВОДЫ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2204079002;да;
2201;БИНОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5405158570;да;
2202;БИОСФЕРА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1661068472;да;
2203;БК-ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1327035331;да;
2204;БООТЭВА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5405069803;да;
2205;ВГТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7715932269;да;
2206;ВЕНТСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0275080353;да;
2207;ВЕРИГУДС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7460042732;да;
2208;ВИАЛ-ПРОЕКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7816705110;да;
2209;ВИВАТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5403358630;да;
2210;ВИМАКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5920034970;да;
2211;ВИРСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2130138959;да;
2212;ВИСТА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6658455449;да;
2213;ВИТИМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415087361;да;
2214;ВМ-СТАЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7203530038;да;
2215;ВОДАКОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0561055446;да;
2216;ВОДООТВЕДЕНИЕ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4307017925;да;
2217;ВОЛГАПЛАСТ-АВТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6312158019;да;
2218;ВЫМПЕЛ-М ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4342004171;да;
2219;ГЕФЕСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6167098690;да;
2220;ГИДРАВЕРС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3702127719;да;
2221;ГИДРОИНЖТЕХСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7606138426;да;
2222;ГИДРОСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0274148400;да;
2223;ГИДРОСИСТЕМЫ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5038132090;да;
2224;ГК АВАНГАРД СЭЙФЕТИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7721753959;да;
2225;ГОЛД ШУЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9705059384;да;
2226;ГРАНУЛА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415052640;да;
2227;ГСУ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7841508229;да;
2228;ДААЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7329007764;да;
2229;ДАЛОС-ПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4705077592;да;
2230;ДАРИНА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5920036536;да;
2231;ДЕКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7816460037;да;
2232;ДЕЛЬТА-ТЕРМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7713029750;да;
2233;ДЖИЭМ ТЕХНОЛОГИИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651068709;да;
2234;ДИОНИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0278208379;да;
2235;ДОГРУЛАР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7705446608;да;
2236;ДОХОР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1831176982;да;
2237;ДС УФА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0277126959;да;
2238;ДЫМАДА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1659212182;да;
2239;ЕВРОКОНТАКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7002015284;да;
2240;ЖВМЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3245515926;да;
2241;ЗАВОД АВТОЗАПЧАСТЕЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6439089038;да;
2242;ЗАВОД БРЭНДФОРД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4401143067;да;
2243;ЗАВОД ПОЛИПРОПИЛЕНОВЫХ ИЗДЕЛИЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0277051421;да;
2244;ЗАВОД ТЕХНОФЛЕКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6229024796;да;
2245;ЗЕНИТ-АВТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7329031774;да;
2246;ЗЕОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0274988470;да;
2247;ЗЕРНОПРОДУКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7113067263;да;
2248;ЗЕТ-АВТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650414674;да;
2249;ЗСОВИКОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2130147022;да;
2250;ИМЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0261045493;да;
2251;ИМПУЛЬССВЕТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0275911985;да;
2252;ИМПЭКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0264079941;да;
2253;ИМЭКС НЕФТЕПРОДУКТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6231056996;да;
2254;ИНЖМЕТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7415004647;да;
2255;ИНСТРУМЕНТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7806535318;да;
2256;ИНСТРУМЕНТАЛ-ЮГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0721002660;да;
2257;ИНТЕГРАЛРЕГИОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268064872;да;
2258;ИНТЕРМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2226001480;да;
2259;ИНФИНИТИ ВАЙТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5402074403;да;
2260;ИНФО-М ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5243023961;да;
2261;ИСО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7730248021;да;
2262;ИТК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7806615651;да;
2263;КАБЕМАЛЕКС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7720671510;да;
2264;КАВКАЗКАБЕЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5029272609;да;
2265;КАЛУЖСКАЯ ОБУВЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4017003342;да;
2266;КАМВТОР ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650340983;да;
2267;КАМОЦЦИ ПНЕВМАТИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7710028420;да;
2268;КАНОПУС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0264015698;да;
2269;КАРБОН-ВИК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2627016003;да;
2270;КАРГО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2222879266;да;
2271;КАРПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1660325575;да;
2272;КАТЮША ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7707332998;да;
2273;КВАРЦСТР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0219006074;да;
2274;КЗ ЭКСПЕРТ-КАБЕЛЬ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7743920794;да;
2275;КЗПК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4727007172;да;
2276;КИВС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5190062996;да;
2277;КМД НЧ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650361630;да;
2278;КМЗ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650376073;да;
2279;КОМБИНАТ ПОЖАРНЫХ РУКАВОВ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5034070453;да;
2280;КОМПАНИЯ АРСАЛ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0274174986;да;
2281;КОМПАНИЯ ПТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7203390292;да;
2282;КОМПЛЕКТ - МАСТЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268067792;да;
2283;КОРАЛФИШ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7811500751;да;
2284;КОСНА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5906062950;да;
2285;КРОВЛЯ СЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0726010753;да;
2286;КРОНА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6319198148;да;
2287;КС-ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1831190987;да;
2288;КУНЦЕВО-ЭЛЕКТРО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7731137765;да;
2289;КЭМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1832119017;да;
2290;ЛАЙМУПАК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7720408371;да;
2291;ЛАРЗОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5050153072;да;
2292;ЛГ ЭЛЕКТРОНИКС РУС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5075018950;да;
2293;ЛИКОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0263008289;да;
2294;ЛМЛ КОМПАНИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5473004402;да;
2295;МАРТЕПЛОСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1215076675;да;
2296;МАСКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7801512885;да;
2297;МАСТЕРПРОФ-ПРОИЗВОДСТВО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7820081056;да;
2298;МЕТ-ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650290179;да;
2299;МЕТАЛЛИСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5917598912;да;
2300;МЕТАЛЛОСБОР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0278170407;да;
2301;МЕТАЛЛОТЕХНИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6439065365;да;
2302;МЕТИНВЕСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7460043831;да;
2303;МЕТЛОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0269031100;да;
2304;МЕТТЕРРА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7448148877;да;
2305;МИР ПЛЕНКИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6678118321;да;
2306;МК-ПОЛИМЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7017463391;да;
2307;ММСК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5606001611;да;
2308;МОНОЛИТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6725018567;да;
2309;МОНТАЖСПЕЦСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268069408;да;
2310;МПК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3662274471;да;
2311;МПК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7456046607;да;
2312;МСК-ДОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6144020827;да;
2313;МУРМАН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3305717302;да;
2314;МХП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7430038263;да;
2315;МЦ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3334013043;да;
2316;МЦМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6612045841;да;
2317;НАНОПОЛИМЕР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6432007653;да;
2318;НАШЕ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268067601;да;
2319;НЕВА ТОРГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7811555373;да;
2320;НЕФТЕХИМПРОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268077261;да;
2321;НИЖПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5262114727;да;
2322;НИКАГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6230082263;да;
2323;НМ ГРУПП ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268101757;да;
2324;НОВА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6168111270;да;
2325;НОВИК-СТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5001076467;да;
2326;НОВОПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2609019308;да;
2327;НОМЕР 1 ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2263031852;да;
2328;НОРДВЕЛЛ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9723038813;да;
2329;НОРМА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268095729;да;
2330;НПК СПЕЦИАЛЬНАЯ МЕТАЛЛУРГИЯ- МОСКВА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7725495642;да;
2331;НПО ЗВЕЗДА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3702104422;да;
2332;"ООО ""НПФ ""ХИМИНВЕСТ""";;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1658041569;да;
2333;НСТЭЦ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0266029390;да;
2334;ОБО БЕТТЕРМАНН ПРОИЗВОДСТВО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4802010226;да;
2335;ОБУВНАЯ КОМПАНИЯ БАРС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1652025296;да;
2336;ОЛИГАРХ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1652024486;да;
2337;ОМЕГА-ПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7802717980;да;
2338;ОМЕГА-ЮГ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6155092982;да;
2339;ОПК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9701184754;да;
2340;ОПП ЦРЭ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1655117273;да;
2341;ОРТОДОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6162077128;да;
2342;ОСКАТА`М ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7826677913;да;
2343;ОФИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5507262404;да;
2344;ОФИОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4441004447;да;
2345;ОХРАННАЯ ТЕХНИКА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5838010655;да;
2346;ПАК СТРЕТЧ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5042140560;да;
2347;ПАКПРО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0261067137;да;
2348;ПАНТУС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6439077628;да;
2349;ПАРИТЕТ-ЦЕНТР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7604032720;да;
2350;ПАРТНЁР ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6319225521;да;
2351;ПДК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6027178338;да;
2352;ПЕРЕСЛАВСКИЙ ЗАВОД ПОЛИМЕРОВ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7622019289;да;
2353;ПК ЭПОС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6659082045;да;
2354;ПК ВОЛПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3525430143;да;
2355;ПК ДЕЛЬТА-МН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7724395814;да;
2356;ПКФ УРАЛ-СТИРОЛ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6685166090;да;
2357;ПКФ МНЕВ И К ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7825100432;да;
2358;ПКФ ПОЛЮС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1832139510;да;
2359;ПКФ РЕЗИНОТЕХ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3435075952;да;
2360;ПКФ ЦВЕТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6658491422;да;
2361;ПКФ ЦВЕТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6658491422;да;
2362;ПЛАСТИКОМ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2127313431;да;
2363;ПЛАСТНЕТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6313549248;да;
2364;ПЛАСТПРОФИ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6230104541;да;
2365;ПЛАСТРОН ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3123064384;да;
2366;ПЛАСТТРУБМОНТАЖ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3448034047;да;
2367;ПЛАСТЭК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6230034037;да;
2368;ПЛИЗ-1 ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6312095880;да;
2369;ПО БРЕНД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1639043200;да;
2370;ПОЛИГОН ПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7734620040;да;
2371;ПОЛИМЕР БЕЛ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3123428539;да;
2372;ПОЛИМЕР СНАБ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7814292860;да;
2373;ПОЛИМЕРСТРОЙСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7460035291;да;
2374;ПОЛИМЕРТЕХ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7300022590;да;
2375;ПОЛОТНОПТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0276906297;да;
2376;ППК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7709474437;да;
2377;ПРАВДА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0261031959;да;
2378;ПРАЙД ТЕК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1661054085;да;
2379;ПРАЙДПЛАСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6141053648;да;
2380;ПРЕМИУМ ФАСАД ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7224079828;да;
2381;ПРЕСТИЖ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5027044075;да;
2382;ПРИМО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4703078262;да;
2383;ПРОГРЕСС АВТО ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3338004113;да;
2384;ПРОЕКТРЕМСТРОЙ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268021011;да;
2385;ПРОЕКТСЕРВИС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0276117905;да;
2386;ПРОИЗВОДСТВЕННАЯ ГРУППА ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4401186737;да;
2387;ПРОК ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2302046767;да;
2388;ПРОМКОМПЛЕКТАЦИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1831185842;да;
2389;ПРОМПОСТ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7460044232;да;
2390;ПРОМРЕСУРС ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1828021989;да;
2391;ПРОМСНАБ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2465241637;да;
2392;ПРОМХИМИЯ ООО;;Клиент;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0268086234;да;
